                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 3.1884,                  3.465,                 1.1808,                0.00292,                0.15385,                0.00185,                 0.0005,                 3.8571,                 4.3124,                 1.1766,               0.005941,               0.005941,               0.005941
                    125,                 3.4012,                 3.2098,                 1.1878,                0.00292,                0.15385,                0.00185,                 0.0005,                 3.8571,                 4.3124,                 1.1766,               0.005908,               0.005908,               0.005908
                    126,                 3.6799,                 3.3853,                  1.128,                0.00102,                0.03846,                0.00055,                  6e-05,                 3.9957,                 4.3942,                 1.2192,               0.005875,               0.005875,               0.005875
                    127,                 3.3858,                 3.3205,                 1.1576,                0.00124,                0.03846,                0.00065,                  7e-05,                 3.9633,                  4.457,                 1.2606,               0.005842,               0.005842,               0.005842
                    128,                 3.2888,                  3.299,                 1.2325,                0.19462,                0.03846,                 0.0123,                0.00123,                  4.075,                 4.5181,                 1.3067,               0.005809,               0.005809,               0.005809
                    129,                 3.2761,                 3.3145,                 1.1517,                0.19462,                0.03846,                 0.0123,                0.00123,                  4.075,                 4.5181,                 1.3067,               0.005776,               0.005776,               0.005776
                    130,                 3.3634,                 3.3977,                 1.1911,                0.39359,                0.03846,                 0.0186,                0.00186,                 3.9851,                 4.5351,                 1.2969,               0.005743,               0.005743,               0.005743
                    131,                 3.4081,                 3.4097,                   1.15,                0.42451,                0.03846,                0.01881,                0.00367,                 4.1642,                 4.5381,                 1.3112,                0.00571,                0.00571,                0.00571
                    132,                 3.3634,                 3.2333,                 1.1678,                0.44823,                0.03846,                0.01865,                0.00368,                 4.1341,                 4.4998,                 1.2749,               0.005677,               0.005677,               0.005677
                    133,                  3.356,                 3.3128,                 1.1537,                0.44823,                0.03846,                0.01865,                0.00368,                 4.1341,                 4.4998,                 1.2749,               0.005644,               0.005644,               0.005644
                    134,                 3.1909,                 3.3248,                 1.1461,                0.46145,                0.03846,                0.02013,                0.00219,                 4.0005,                 4.3976,                 1.1808,               0.005611,               0.005611,               0.005611
                    135,                 3.2246,                   3.09,                 1.1136,                0.46706,                0.03846,                0.02277,                0.00262,                 3.9077,                  4.375,                 1.1549,               0.005578,               0.005578,               0.005578
                    136,                 3.5656,                  3.142,                 1.1317,                0.47284,                0.03846,                0.02209,                0.00246,                 3.7471,                 4.4852,                 1.1285,               0.005545,               0.005545,               0.005545
                    137,                 3.4201,                 3.6448,                 1.1936,                0.47284,                0.03846,                0.02209,                0.00246,                 3.7471,                 4.4852,                 1.1285,               0.005512,               0.005512,               0.005512
                    138,                 3.3091,                 3.1754,                 1.1302,                 0.4796,                0.03846,                0.03914,                0.00412,                 3.6732,                  4.585,                 1.1209,               0.005479,               0.005479,               0.005479
                    139,                 3.4908,                 3.3597,                 1.1228,                0.48768,                0.03846,                0.03836,                0.00408,                 3.7453,                 4.6631,                 1.1365,               0.005446,               0.005446,               0.005446
                    140,                 3.3125,                 3.4831,                 1.1104,                0.49247,                0.03846,                0.03736,                0.00401,                 3.8217,                 4.6232,                 1.1655,               0.005413,               0.005413,               0.005413
                    141,                 3.0274,                 3.2619,                  1.126,                0.49247,                0.03846,                0.03736,                0.00401,                 3.8217,                 4.6232,                 1.1655,                0.00538,                0.00538,                0.00538
                    142,                 3.1172,                 3.4121,                 1.1245,                0.56442,                0.03846,                0.04054,                 0.0042,                 3.7839,                 4.5592,                 1.1786,               0.005347,               0.005347,               0.005347
